"Note: For previous updates, right-click any worksheet tab below and select ""Unhide …"" in order to restore update worksheets by year.",,,,,,,
Variable Name,Column,Description,Source,Website for Source,Additional Notes,Years updated ,varname
Population,D,Population Estimates,"U.S. Census Bureau, Population Estimates.  American FactFinder ""Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2016""",https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=PEP_2016_PEPANNRES&src=pt,Measured in levels (as of July 1),2016,population
Employment,E,Employment Estimates,"Bureau of Labor Statistics, Local Area Unemployment Statistics. ""States:  Employment status of the civilian noninstitutional population, 1976 to 2016 annual averages""",http://www.bls.gov/lau/staadata.txt,Measured in levels,2016,employment
Unemployment ,F,Unemployment Estimates,"Bureau of Labor Statistics, Local Area Unemployment Statistics. ""States:  Employment status of the civilian noninstitutional population, 1976 to 2016 annual averages""",http://www.bls.gov/lau/staadata.txt,Measured in levels,2016,unemployment
Unemployment rate,G,Unemployment Rate,"Bureau of Labor Statistics, Local Area Unemployment Statistics. ""States:  Employment status of the civilian noninstitutional population, 1976 to 2016 annual averages""",http://www.bls.gov/lau/staadata.txt,Measured as percentage of labor force,2016,urate
Marginally Food Insecure,H,Marginal Food Insecurity (individual level),"U.S. Census Bureau, Current Population Survey, December Supplement.",http://www.nber.org/data/current-population-survey-data.html,"Marginally food insecure if household answers ""yes"" to 1 or more questions from the Core Food Security Model, Current Population Survey.  The person-weight is used in all years except 2007 and thus the food insecurity rates reflect the fraction of individuals food insecure.",2016,foodinsecure_mgl
Food Insecure,I,Food Insecurity (individual level),"U.S. Census Bureau, Current Population Survey, December Supplement.",http://www.nber.org/data/current-population-survey-data.html,"Food insecure if household answers ""yes"" to 3 or more questions from the Core Food Security Model, Current Population Survey.  The person-weight is used in all years except 2007 and thus the food insecurity rates reflect the fraction of individuals food insecure.",2016,foodinsecure
Very Low Food Secure,J,Very Low Food Security (individual level),"U.S. Census Bureau, Current Population Survey, December Supplement.",http://www.nber.org/data/current-population-survey-data.html,"Very low food secure if household with children answers ""yes"" to 8 or more questions, or household without children answers ""yes"" to more than 6 questions from the Core Food Security Model, Current Population Survey.  The person-weight is used in all years except 2007 and thus the food insecurity rates reflect the fraction of individuals food insecure.",2016,foodsecurity_verylow
Gross State Product,K,Gross Domestic Product by State (Millions),"U.S. Department of Commerce, Bureau of Economic Analysis. ""Regional Economic Accounts, Interactive Tables: Gross Domestic Product (GDP) by State""",http://www.bea.gov/iTable/iTableHTML.cfm?reqid=70&step=1&isuri=1&acrdn=1,Measured in millions of current dollars (all industry total),2016,stateproduct
Number of low income uninsured children,L,Number of low income uninsured children,"Prior to 2013: U.S. Census Bureau, Current Population Survey, 2011 to 2013 Annual Social and Economic Supplements. ""Number and Percent of Children under 19 Years of Age, at or below 200 Percent of Poverty, by State""  2012 Onward:  U.S. Census Bureau, 2013-2015 American Community Survey.   HI10. Number and Percent of Children Under 19 Below 200% of Poverty by Health Insurance Coverage and State",https://www.census.gov/data/tables/time-series/demo/health-insurance/acs-hi.2016.html,Poverty figures are in thousands. Starting in 2012 data comes from the ACS as opposed to CPS,2016,liuic_count
Percent Low Income Uninsured Children,M,Percent Low Income Uninsured Children,"U.S. Census Bureau, Current Population Survey, 2011 to 2013 Annual Social and Economic Supplements. ""Number and Percent of Children under 19 Years of Age, at or below 200 Percent of Poverty, by State""",https://www.census.gov/data/tables/time-series/demo/health-insurance/acs-hi.2016.html,Starting in 2012 data comes from the ACS as opposed to CPS,2016,liuic_pct
Personal income,N,Personal Income (Thousands),"U.S. Department of Commerce, Bureau of Economic Analysis. ""Regional Economic Accounts, Interactive Tables: State Annual Personal Income & Employment""",http://www.bea.gov/iTable/iTableHTML.cfm?reqid=70&step=1&isuri=1&acrdn=4,SA-1 Personal Income Summary measured in thousands of current dollars,2016,personalincome
Workers' compensation,O,Workers' Compensation (Thousands),"U.S. Department of Commerce, Bureau of Economic Analysis. ""Regional Economic Accounts, Interactive Tables: State Annual Personal Income & Employment""",http://www.bea.gov/iTable/iTableHTML.cfm?reqid=70&step=1&isuri=1&acrdn=4,SA-35 Personal Current Transfer Receipts measured in thousands of current dollars,2016,workcomp
AFDC/TANF Recipients,P,Average Monthly Number of Total Recipients of AFDC/TANF,"U.S. Department of Health and Human Services, Administration for Children and Families. ""TANF Caseload Data 2015: Total Recipients, TANF and SSP-MOE Combined""",http://www.acf.hhs.gov/ofa/resource/tanf-caseload-data-2016,Monthly averages measured in fiscal year Oct. 2015 - Sep. 2016,2016,afdctanf_recs
AFDC/TANF Caseloads,Q,Average Monthly Number of Total Family Caseloads for AFDC/TANF,"U.S. Department of Health and Human Services, Administration for Children and Families. ""TANF Caseload Data 2015: Total Families, TANF and SSP-MOE Combined""",http://www.acf.hhs.gov/ofa/resource/tanf-caseload-data-2016,Monthly averages measured in fiscal year Oct. 2015 - Sep. 2016,2016,afdctanf_cases
